"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.503317000E1,2.544598000E1,9.323491114E0,NaN,NaN,1.584599972E1,1.000000000E0
2.042231900E-1,6.503315310E1,2.544605710E1,9.323504678E0,NaN,NaN,1.663800049E1,1.000000000E0
4.745917811E0,6.503313612E1,2.544602781E1,5.102118840E1,3.519999981E0,2.345000000E2,6.957901955E0,2.071257782E1
5.775098488E0,6.503315707E1,2.544600681E1,4.541467182E1,0.000000000E0,NaN,1.173362446E1,1.620220184E1
6.005625050E0,6.503314109E1,2.544605566E1,1.619916739E1,0.000000000E0,NaN,1.577797890E1,1.789043045E1
7.001576925E0,6.503313204E1,2.544605450E1,1.482301124E1,0.000000000E0,NaN,1.682716942E1,1.697031403E1
8.003911820E0,6.503311651E1,2.544605095E1,1.555421831E1,0.000000000E0,NaN,1.634708214E1,1.536459732E1
9.003613643E0,6.503311133E1,2.544603864E1,1.497414117E1,0.000000000E0,NaN,1.510348797E1,1.340198898E1
1.000344958E1,6.503310380E1,2.544602818E1,1.408193135E1,0.000000000E0,NaN,1.370275402E1,1.177136326E1
1.100688588E1,6.503309820E1,2.544599877E1,1.482955062E1,0.000000000E0,NaN,1.332640934E1,1.102080631E1
1.200706942E1,6.503309534E1,2.544600635E1,1.383620526E1,0.000000000E0,NaN,1.215502453E1,1.014074039E1
1.300816380E1,6.503309267E1,2.544601110E1,1.315487130E1,0.000000000E0,NaN,1.074443626E1,9.165525436E0
1.400864505E1,6.503308868E1,2.544600988E1,1.417599095E1,0.000000000E0,NaN,1.067405224E1,9.013804436E0
1.500722968E1,6.503308621E1,2.544600672E1,1.398696579E1,0.000000000E0,NaN,9.699455261E0,8.101096153E0
1.600965374E1,6.503308732E1,2.544598989E1,1.510280858E1,0.000000000E0,NaN,9.118092537E0,7.534967422E0
1.700802781E1,6.503308306E1,2.544597314E1,1.640804563E1,0.000000000E0,NaN,8.608231544E0,7.308098316E0
1.800760880E1,6.503308097E1,2.544596846E1,1.746383218E1,0.000000000E0,NaN,8.335224152E0,6.995417595E0
1.900780598E1,6.503308168E1,2.544597356E1,1.654482600E1,0.000000000E0,NaN,7.909305096E0,6.709685802E0
2.000771869E1,6.503308392E1,2.544597257E1,1.552645344E1,0.000000000E0,NaN,8.063113213E0,6.774782181E0
2.100825583E1,6.503308312E1,2.544597398E1,1.493337527E1,0.000000000E0,NaN,7.832377434E0,6.501963615E0
2.200091806E1,6.503308310E1,2.544597751E1,1.473958897E1,0.000000000E0,NaN,7.922633171E0,6.409968376E0
2.300858129E1,6.503308388E1,2.544598842E1,1.357332985E1,0.000000000E0,NaN,6.357988834E0,6.096273422E0
2.401140541E1,6.503308063E1,2.544598313E1,1.319076232E1,0.000000000E0,NaN,5.711490631E0,5.588140965E0
2.500792577E1,6.503307634E1,2.544596381E1,1.372781068E1,0.000000000E0,NaN,5.601386070E0,5.487556934E0
2.600773322E1,6.503307878E1,2.544596324E1,1.350954793E1,0.000000000E0,NaN,5.450903416E0,5.097743511E0
2.701079551E1,6.503307772E1,2.544596383E1,1.303060554E1,0.000000000E0,NaN,5.474672794E0,4.912952900E0
2.800792869E1,6.503307805E1,2.544597037E1,1.299667043E1,0.000000000E0,NaN,5.710669041E0,4.830735683E0
2.900871181E1,6.503307634E1,2.544597375E1,1.296938870E1,0.000000000E0,NaN,6.104259968E0,4.890367508E0
3.001091577E1,6.503307635E1,2.544597200E1,1.300936657E1,0.000000000E0,NaN,6.871343136E0,4.936683178E0
3.100774817E1,6.503307612E1,2.544597189E1,1.301278462E1,0.000000000E0,NaN,8.148372650E0,5.016312599E0
3.200722816E1,6.503307577E1,2.544597288E1,1.308218182E1,0.000000000E0,NaN,9.187057495E0,4.937927723E0
3.300764837E1,6.503307575E1,2.544597160E1,1.312765291E1,0.000000000E0,NaN,1.052609444E1,4.940563679E0
3.400726410E1,6.503307553E1,2.544597250E1,1.314437671E1,0.000000000E0,NaN,1.280885315E1,5.227427006E0
3.500721952E1,6.503307507E1,2.544597425E1,1.312454062E1,0.000000000E0,NaN,1.572544956E1,5.674524784E0
3.600725415E1,6.503307438E1,2.544597368E1,1.305325178E1,0.000000000E0,NaN,1.740105057E1,5.607388020E0
3.700983895E1,6.503307353E1,2.544597391E1,1.321188252E1,0.000000000E0,NaN,1.618450928E1,5.449984074E0
3.800471233E1,6.503307367E1,2.544597270E1,1.300784182E1,0.000000000E0,NaN,1.638715363E1,5.150727272E0
3.900756415E1,6.503307337E1,2.544597114E1,1.295559571E1,0.000000000E0,NaN,1.708635139E1,5.097428322E0
4.000943858E1,6.503307296E1,2.544597010E1,1.288113290E1,0.000000000E0,NaN,1.773100853E1,4.959518909E0
4.100983249E1,6.503307311E1,2.544597341E1,1.294106965E1,0.000000000E0,NaN,1.562841129E1,4.855542660E0
4.200801759E1,6.503308147E1,2.544598891E1,1.344149492E1,0.000000000E0,NaN,6.201103687E0,4.721021175E0
4.300824587E1,6.503308009E1,2.544598999E1,1.318520895E1,0.000000000E0,NaN,6.811817646E0,4.766324997E0
4.400990066E1,6.503308138E1,2.544598915E1,1.344247154E1,0.000000000E0,NaN,8.015072823E0,4.988102913E0
4.500640972E1,6.503308128E1,2.544598856E1,1.337948325E1,0.000000000E0,NaN,9.546694756E0,5.173287392E0
4.601158108E1,6.503308165E1,2.544598545E1,1.355276163E1,0.000000000E0,NaN,1.121804905E1,5.325084686E0
4.700783941E1,6.503308225E1,2.544598342E1,1.357882322E1,0.000000000E0,NaN,1.322834587E1,5.457525253E0
4.800909394E1,6.503308178E1,2.544598446E1,1.351113552E1,0.000000000E0,NaN,1.544970989E1,5.573281288E0
4.900904832E1,6.503308109E1,2.544598648E1,1.349935619E1,0.000000000E0,NaN,1.601653099E1,5.748291016E0
5.000877555E1,6.503307973E1,2.544598712E1,1.338223032E1,0.000000000E0,NaN,1.775199127E1,5.810957909E0
5.100912477E1,6.503308022E1,2.544598442E1,1.324581631E1,0.000000000E0,NaN,1.946092224E1,5.777051449E0
5.200990670E1,6.503307846E1,2.544598608E1,1.299941824E1,0.000000000E0,NaN,2.160528946E1,5.861566544E0
5.300924587E1,6.503307936E1,2.544599056E1,1.310238458E1,0.000000000E0,NaN,1.870018005E1,5.780966282E0
5.400287045E1,6.503307937E1,2.544598968E1,1.296023362E1,0.000000000E0,NaN,2.011107063E1,5.829982281E0
5.500618654E1,6.503308025E1,2.544598812E1,1.304195920E1,0.000000000E0,NaN,2.195196724E1,5.958067417E0
5.600924758E1,6.503308089E1,2.544598790E1,1.308956635E1,0.000000000E0,NaN,2.396715736E1,6.076684952E0
5.700862014E1,6.503308163E1,2.544598698E1,1.320675347E1,0.000000000E0,NaN,2.673431396E1,6.409032345E0
5.800399352E1,6.503308142E1,2.544598724E1,1.308950505E1,0.000000000E0,NaN,2.923682976E1,6.616119385E0
5.900688154E1,6.503308277E1,2.544598546E1,1.321023189E1,0.000000000E0,NaN,3.168253517E1,6.885920525E0
6.000689128E1,6.503308255E1,2.544598526E1,1.317959231E1,0.000000000E0,NaN,3.412531662E1,7.005714893E0
6.100719315E1,6.503308172E1,2.544598498E1,1.302328158E1,0.000000000E0,NaN,2.819503784E1,6.911383152E0
6.200631623E1,6.503309107E1,2.544600349E1,1.341689520E1,0.000000000E0,NaN,1.192626381E1,6.679101944E0
6.300358008E1,6.503309234E1,2.544600148E1,1.337301023E1,0.000000000E0,NaN,1.208336544E1,6.452723026E0
6.400667305E1,6.503309166E1,2.544600239E1,1.319405551E1,0.000000000E0,NaN,1.240382004E1,6.268461227E0
6.500569831E1,6.503309032E1,2.544600281E1,1.295662932E1,0.000000000E0,NaN,1.290596294E1,6.369346142E0
6.600626737E1,6.503309013E1,2.544600280E1,1.291561377E1,0.000000000E0,NaN,1.360630608E1,6.477233887E0
6.700628570E1,6.503308983E1,2.544600288E1,1.290505482E1,0.000000000E0,NaN,1.447903633E1,6.652399540E0
6.800629565E1,6.503308963E1,2.544600390E1,1.286049932E1,0.000000000E0,NaN,1.548413086E1,6.942682266E0
6.900658367E1,6.503308936E1,2.544600402E1,1.291524798E1,0.000000000E0,NaN,1.716467857E1,7.207003117E0
7.000348836E1,6.503308814E1,2.544600385E1,1.327883488E1,0.000000000E0,NaN,1.966825867E1,7.446101665E0
7.100520628E1,6.503308818E1,2.544600350E1,1.324367858E1,0.000000000E0,NaN,2.194057846E1,7.585013866E0
7.200595805E1,6.503308801E1,2.544600342E1,1.336745794E1,0.000000000E0,NaN,2.204236412E1,7.095049381E0
7.300425049E1,6.503308801E1,2.544600337E1,1.332332952E1,0.000000000E0,NaN,2.228251839E1,6.630221367E0
7.400785393E1,6.503308741E1,2.544600332E1,1.349337370E1,0.000000000E0,NaN,2.280211639E1,6.249519825E0
7.500617851E1,6.503308757E1,2.544600370E1,1.356606654E1,0.000000000E0,NaN,2.351259613E1,6.042605877E0
7.600755606E1,6.503308770E1,2.544600380E1,1.356344198E1,0.000000000E0,NaN,2.441880417E1,5.831408501E0
